Survived,Pclass,SibSp,Fare
0,3,1,7.25
1,1,1,71.2833
1,3,0,7.925
1,1,1,53.1
0,3,0,8.05
0,3,0,8.4583
0,1,0,51.8625
0,3,3,21.075
1,3,0,11.1333
1,2,1,30.0708
1,3,1,16.7
1,1,0,26.55
0,3,0,8.05
0,3,1,31.275
0,3,0,7.8542
1,2,0,16
0,3,4,29.125
1,2,0,13
0,3,1,18
1,3,0,7.225
0,2,0,26
1,2,0,13
1,3,0,8.0292
1,1,0,35.5
0,3,3,21.075
1,3,1,31.3875
0,3,0,7.225
0,1,3,263
1,3,0,7.8792
0,3,0,7.8958
0,1,0,27.7208
1,1,1,146.5208
1,3,0,7.75
0,2,0,10.5
0,1,1,82.1708
0,1,1,52
1,3,0,7.2292
0,3,0,8.05
0,3,2,18
1,3,1,11.2417
0,3,1,9.475
0,2,1,21
0,3,0,7.8958
1,2,1,41.5792
1,3,0,7.8792
0,3,0,8.05
0,3,1,15.5
1,3,0,7.75
0,3,2,21.6792
0,3,1,17.8
0,3,4,39.6875
0,3,0,7.8
1,1,1,76.7292
1,2,1,26
0,1,0,61.9792
1,1,0,35.5
1,2,0,10.5
0,3,0,7.2292
1,2,1,27.75
0,3,5,46.9
0,3,0,7.2292
1,1,0,80
0,1,1,83.475
0,3,3,27.9
0,1,0,27.7208
1,3,1,15.2458
1,2,0,10.5
0,3,0,8.1583
1,3,4,7.925
0,3,2,8.6625
0,2,0,10.5
0,3,5,46.9
0,2,0,73.5
0,3,1,14.4542
1,3,0,56.4958
0,3,0,7.65
0,3,0,7.8958
0,3,0,8.05
1,2,0,29
1,3,0,12.475
0,3,0,9
1,3,0,9.5
1,3,0,7.7875
0,1,0,47.1
1,2,0,10.5
1,3,3,15.85
0,3,1,34.375
0,3,0,8.05
1,1,3,263
0,3,0,8.05
0,3,0,8.05
0,3,0,7.8542
0,1,1,61.175
0,3,1,20.575
0,3,0,7.25
0,3,0,8.05
0,1,0,34.6542
1,1,0,63.3583
1,2,0,23
0,2,1,26
0,3,0,7.8958
0,3,0,7.8958
0,1,0,77.2875
0,3,0,8.6542
0,3,2,7.925
0,3,0,7.8958
1,3,0,7.65
1,3,0,7.775
0,3,0,7.8958
1,3,1,24.15
0,1,0,52
0,3,1,14.4542
0,3,0,8.05
0,3,1,9.825
0,3,0,14.4583
0,3,0,7.925
0,3,0,7.75
0,2,1,21
0,1,0,247.5208
0,3,4,31.275
0,2,2,73.5
0,3,0,8.05
0,2,1,30.0708
1,2,0,13
0,1,0,77.2875
1,3,1,11.2417
0,3,0,7.75
1,3,0,7.1417
1,3,1,22.3583
0,3,0,6.975
0,3,0,7.8958
0,3,0,7.05
0,3,1,14.5
1,2,1,26
0,2,0,13
0,2,0,15.0458
1,1,0,26.2833
0,1,1,53.1
0,3,0,9.2167
0,1,0,79.2
0,3,0,15.2458
1,3,0,7.75
1,3,1,15.85
0,3,0,6.75
0,2,0,11.5
0,2,1,36.75
1,3,0,7.7958
0,3,2,34.375
0,2,0,26
0,2,0,13
0,2,0,12.525
1,1,1,66.6
0,3,0,8.05
0,3,0,14.5
0,3,0,7.3125
0,1,0,61.3792
1,3,0,7.7333
0,3,0,8.05
0,3,0,8.6625
0,3,8,69.55
0,3,0,16.1
1,2,0,15.75
0,3,0,7.775
0,3,0,8.6625
0,3,4,39.6875
1,3,0,20.525
1,1,0,55
0,3,1,27.9
0,1,0,25.925
0,3,0,56.4958
0,1,0,33.5
0,3,4,29.125
1,3,1,11.1333
0,3,0,7.925
0,1,0,30.6958
0,3,1,7.8542
0,3,3,25.4667
0,1,0,28.7125
0,2,0,13
0,3,0,0
0,3,8,69.55
0,2,0,15.05
0,3,4,31.3875
1,2,2,39
1,3,0,22.025
0,1,0,50
1,3,1,15.5
1,1,0,26.55
0,3,1,15.5
0,3,0,7.8958
1,2,0,13
0,2,0,13
1,3,1,7.8542
1,2,1,26
1,1,0,27.7208
1,1,0,146.5208
0,3,0,7.75
0,3,0,8.4042
1,3,0,7.75
0,2,0,13
0,3,0,9.5
0,3,8,69.55
0,3,0,6.4958
0,3,0,7.225
1,3,0,8.05
0,3,0,10.4625
0,3,1,15.85
1,3,0,18.7875
1,3,0,7.75
1,1,0,31
0,3,0,7.05
1,2,0,21
0,3,0,7.25
0,2,0,13
0,3,1,7.75
1,1,1,113.275
1,3,0,7.925
0,2,1,27
1,1,0,76.2917
0,2,0,10.5
1,3,0,8.05
0,2,0,13
0,3,0,8.05
0,3,0,7.8958
1,1,1,90
0,3,0,9.35
1,2,0,10.5
0,3,0,7.25
0,2,0,13
0,3,3,25.4667
1,1,1,83.475
0,3,0,7.775
0,2,0,13.5
1,3,4,31.3875
0,2,0,10.5
0,3,0,7.55
0,2,1,26
1,2,0,26.25
0,2,0,10.5
0,2,0,12.275
0,3,1,14.4542
1,3,1,15.5
0,2,0,10.5
0,3,0,7.125
0,3,0,7.225
0,1,2,90
0,3,0,7.775
1,2,0,14.5
1,1,1,52.5542
0,2,1,26
0,3,0,7.25
0,3,1,10.4625
0,1,0,26.55
0,3,1,16.1
0,3,0,20.2125
1,3,0,15.2458
1,1,0,79.2
1,1,0,86.5
1,1,0,512.3292
1,2,0,26
0,3,0,7.75
1,3,4,31.3875
0,1,1,79.65
0,1,0,0
0,3,0,7.75
0,2,0,10.5
0,3,4,39.6875
1,3,1,7.775
1,1,0,153.4625
1,1,0,135.6333
0,1,0,31
1,3,0,0
1,2,0,19.5
0,1,0,29.7
1,3,0,7.75
1,1,1,77.9583
0,3,0,7.75
0,2,0,0
0,3,4,29.125
1,3,1,20.25
0,3,0,7.75
0,3,0,7.8542
0,3,0,9.5
1,3,0,8.05
0,1,0,26
0,3,0,8.6625
1,3,0,9.5
0,3,0,7.8958
1,2,0,13
1,3,0,7.75
1,1,0,78.85
1,1,1,91.0792
0,2,0,12.875
0,3,0,8.85
0,3,0,7.8958
0,1,0,27.7208
0,3,0,7.2292
0,1,1,151.55
1,1,0,30.5
1,1,0,247.5208
1,3,0,7.75
1,3,2,23.25
0,3,0,0
1,2,0,12.35
0,3,0,8.05
1,1,1,151.55
1,1,0,110.8833
1,1,1,108.9
0,2,1,24
1,1,0,56.9292
1,1,0,83.1583
1,1,2,262.375
0,2,1,26
0,3,0,7.8958
0,2,1,26.25
1,3,0,7.8542
1,2,1,26
0,2,0,14
1,1,0,164.8667
1,1,1,134.5
0,3,0,7.25
0,3,0,7.8958
1,2,0,12.35
1,2,1,29
0,3,8,69.55
1,1,0,135.6333
0,3,0,6.2375
1,2,0,13
1,3,1,20.525
1,1,0,57.9792
1,3,2,23.25
0,1,0,28.5
0,1,0,153.4625
0,3,2,18
1,1,1,133.65
0,3,0,7.8958
0,1,1,66.6
1,1,0,134.5
1,3,0,8.05
0,1,0,35.5
1,2,1,26
1,1,3,263
0,2,0,13
0,2,0,13
0,2,0,13
1,2,0,13
1,2,0,13
1,3,1,16.1
1,3,1,15.9
0,3,0,8.6625
0,3,0,9.225
0,1,0,35
0,3,1,7.2292
0,3,1,17.8
0,3,0,7.225
0,3,0,9.5
1,1,0,55
0,2,0,13
1,3,0,7.8792
1,3,0,7.8792
0,3,1,27.9
0,2,1,27.7208
0,3,0,14.4542
0,3,0,7.05
0,3,1,15.5
0,3,0,7.25
1,1,1,75.25
1,3,0,7.2292
1,3,0,7.75
1,1,0,69.3
1,1,1,55.4417
0,3,1,6.4958
0,3,0,8.05
0,1,0,135.6333
0,3,3,21.075
1,1,1,82.1708
1,3,0,7.25
0,1,0,211.5
0,3,0,4.0125
0,3,0,7.775
1,1,0,227.525
1,3,0,15.7417
0,3,0,7.925
1,1,1,52
0,3,0,7.8958
0,2,0,73.5
0,3,5,46.9
1,2,0,13
0,3,0,7.7292
1,2,0,12
1,1,1,120
1,3,0,7.7958
0,3,2,7.925
1,1,1,113.275
1,3,0,16.7
0,3,0,7.7958
0,3,0,7.8542
0,2,0,26
0,2,0,10.5
1,2,0,12.65
1,3,0,7.925
0,3,0,8.05
0,3,1,9.825
0,3,1,15.85
0,3,0,8.6625
0,2,1,21
0,3,0,7.75
1,2,1,18.75
0,3,0,7.775
0,3,3,25.4667
0,3,0,7.8958
0,3,0,6.8583
1,1,1,90
0,2,0,0
1,3,0,7.925
0,3,0,8.05
1,2,1,32.5
1,2,0,13
0,2,0,13
0,3,0,24.15
0,3,0,7.8958
0,3,0,7.7333
0,3,0,7.875
0,3,1,14.4
0,3,1,20.2125
